date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:13	111808/111808	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b4c0%22	https://rsms.me/inter/font-files/Inter-BoldItalic.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-BoldItalic3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:14	151052/151052	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-24e0c%22	https://rsms.me/inter/font-files/Inter-BoldItalic.woff?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-BoldItalic3535.woff	(from https://rsms.me/inter/inter-ui.css)
14:35:14	106108/106108	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-19e7c%22	https://rsms.me/inter/font-files/Inter-ExtraBold.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ExtraBold3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:14	142920/142920	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-22e48%22	https://rsms.me/inter/font-files/Inter-ExtraBold.woff?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ExtraBold3535.woff	(from https://rsms.me/inter/inter-ui.css)
14:35:14	111708/111708	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1b45c%22	https://rsms.me/inter/font-files/Inter-ExtraBoldItalic.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ExtraBoldItalic3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:14	150628/150628	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-24c64%22	https://rsms.me/inter/font-files/Inter-ExtraBoldItalic.woff?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-ExtraBoldItalic3535.woff	(from https://rsms.me/inter/inter-ui.css)
14:35:15	102868/102868	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-191d4%22	https://rsms.me/inter/font-files/Inter-Black.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-Black3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:15	138764/138764	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-21e0c%22	https://rsms.me/inter/font-files/Inter-Black.woff?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-Black3535.woff	(from https://rsms.me/inter/inter-ui.css)
14:35:15	108752/108752	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-1a8d0%22	https://rsms.me/inter/font-files/Inter-BlackItalic.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-BlackItalic3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:15	146824/146824	---M--	200	added ('OK')	font/woff	etag:%2260cd12c5-23d88%22	https://rsms.me/inter/font-files/Inter-BlackItalic.woff?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-BlackItalic3535.woff	(from https://rsms.me/inter/inter-ui.css)
14:35:16	324864/324864	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-4f500%22	https://rsms.me/inter/font-files/Inter.var.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter.var3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:16	227180/227180	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-3776c%22	https://rsms.me/inter/font-files/Inter-roman.var.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-roman.var3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:16	245036/245036	---M--	200	added ('OK')	font/woff2	etag:%2260cd12c5-3bd2c%22	https://rsms.me/inter/font-files/Inter-italic.var.woff2?v=3.19	C:/Users/Utente/Desktop/metaweb/metaweb/rsms.me/inter/font-files/Inter-italic.var3535.woff2	(from https://rsms.me/inter/inter-ui.css)
14:35:17	4178/4178	---M-Z	200	added ('OK')	image/gif	etag:%225eb03fd5-1052%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/ajax-loader.gif	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/ajax-loader.gif	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
14:35:17	2048/2048	---M-Z	200	added ('OK')	application/octet-stream	etag:%225eb03fd5-800%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.eot	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.eot	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
14:35:17	2048/2048	---M-Z	200	added ('OK')	application/octet-stream	etag:%225eb03fd5-800%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.eot?	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slickd41d.eot	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
14:35:17	1380/1380	---M-Z	200	added ('OK')	application/octet-stream	etag:%225eb03fd5-564%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.woff	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.woff	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
14:35:18	1892/1892	---M-Z	200	added ('OK')	application/octet-stream	etag:%225eb03fd5-764%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.ttf	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.ttf	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
14:35:18	2152/2152	---M-Z	200	added ('OK')	image/svg+xml	etag:%225eb03fd5-868%22	https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.svg	C:/Users/Utente/Desktop/metaweb/metaweb/cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/fonts/slick.svg	(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
14:35:19	157528/157528	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Oct%202018%2008:17:04%20GMT	https://overwolf.xyz/Panel/css/default.css	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/Panel/css/default.css	(from https://overwolf.xyz/Panel/)
14:35:19	695/695	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Oct%202021%2021:34:51%20GMT	https://overwolf.xyz/Panel/index.html	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/Panel/index.3d.delayed	(from https://overwolf.xyz/Panel/)
14:35:20	1208/1208	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20May%202019%2006:57:46%20GMT	https://overwolf.xyz/Panel/js/scripts.js	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/Panel/js/scripts.js	(from https://overwolf.xyz/Panel/)
14:35:20	3160/3160	---MCZ	200	added ('OK')	text/html	date:Wed,%2006%20Oct%202021%2021:34:52%20GMT	https://overwolf.xyz/Panel/?action=signup	C:/Users/Utente/Desktop/metaweb/metaweb/overwolf.xyz/Panel/indexdc73.html	(from https://overwolf.xyz/Panel/)
14:35:22	212/212	---M-Z	200	added ('OK')	text/plain	etag:W/%22615b4ba9-1d3%22	https://rsms.me/robots.txt		(from https://rsms.me/inter/inter-ui.css)
14:35:23	18/18	---M--	404	error ('Not%20Found')	text/plain	date:Wed,%2006%20Oct%202021%2021:34:54%20GMT	https://cdnjs.cloudflare.com/robots.txt		(from https://cdnjs.cloudflare.com/ajax/libs/slick-carousel/1.8.1/slick-theme.min.css)
